family,stage_hint,behavior_stage,actual_offset_s,target_offset_s,rep,run,snap_name,snap_dir,pslist_count,pslist_unique_names,pslist_avg_threads,pslist_avg_handles,pslist_wow64_count,pslist_exited_count,pslist_ransom_procs,pslist_avg_runtimes,pslist_max_runtimes,pslist_avg_children,pslist_max_children,pslist_parent_missing_count,psscan_count,hidden_process_count,cmdline_count,cmdline_with_args,cmdline_suspicious_count,cmdline_avg_length,cmdline_max_length,cmdline_sus_args_count,cmdline_script_exec_count,cmdline_unusual_dir_count,cmdline_script_tool_count,cmdline_encoded_count,cmdline_ransom_indicators,dlllist_total,dlllist_unique_dlls,dlllist_avg_per_process,dlllist_non_system,dlllist_avg_load_total_per_process,dlllist_max_load_total_per_process,dlllist_avg_max_loadcount_per_process,dlllist_unusual_path_pid_count,dlllist_unusual_path_hit_count,dlllist_crypto_pid_count,dlllist_crypto_hit_count,dlllist_crypto_dlls,ldrmodules_total,ldrmodules_not_in_load,ldrmodules_not_in_init,ldrmodules_not_in_mem,ldrmodules_hidden_count,ldrmodules_avg_per_process,ldrmodules_max_per_process,ldrmodules_suspicious_path_pid_count,ldrmodules_suspicious_path_hit_count,vad_total,vad_exec_count,vad_private_exec,vad_pid_count,vad_avg_regions_per_process,vad_max_regions_per_process,vad_avg_total_mem_per_process,vad_max_total_mem_per_process,vad_avg_max_region_size_per_process,vad_private_pid_count,vad_private_region_count,vad_rwx_pid_count,vad_rwx_region_count,malfind_count,malfind_mz_regions,malfind_rwx_region_count,malfind_private,malfind_private_exec,malfind_shellcode_regions,malfind_pid_count,malfind_avg_regions_per_process,malfind_max_regions_per_process,malfind_rwx_pid_count,handle_total,handle_avg_per_process,handle_file_count,handle_registry_count,handle_mutex_count,handle_process_count,handle_thread_count,handle_port_count,handle_event_count,handle_section_count,handle_semaphore_count,handle_timer_count,handle_desktop_count,handle_directory_count,handle_token_count,handle_file_ratio,handle_registry_ratio,handle_mutex_ratio,handle_encrypted_files,filescan_total,filescan_encrypted,filescan_ransom_notes,svcscan_total,svcscan_running,svcscan_stopped,svcscan_security_stopped,priv_total_enabled,vad_exec_ratio,vad_priv_exec_ratio,vad_rwx_ratio,vad_private_ratio,ldrmodules_hidden_ratio,ldrmodules_suspicious_path_ratio,filescan_encrypted_ratio,netstat_established_ratio,netstat_outbound_ratio,netstat_suspicious_port_ratio,cmdline_encoded_ratio,cmdline_script_exec_ratio,cmdline_unusual_dir_ratio,dlllist_unusual_path_ratio,dlllist_crypto_ratio,malfind_rwx_ratio
Dharma,3,2,60,60,1,3,Dharma_T060_rep01,D:/Patrick/VMSnapshots/Datasets/Dharma_20260329_230514\T060_rep01,104,55,12.56,0,2,9,1,0,0,4.29,38,5,104,0,104,104,2,39.97,568,0,0,5,2,0,0,2332,606,49.62,2741,289.49,1628.0,5.11,3,4,36,67,7,575,38,59,38,0,19.17,68,0,0,17442,5756,14,95,183.6,2521,0.0,0.0,0.0,94,7759,3,14,8,0,8,8,8,0,2,4.0,7,2,33955,506.79,1503,2888,702,882,1372,1931,8666,1025,1513,796,68,178,712,0.0443,0.0851,0.0207,0,6629,1519,0,,,,,1228,0.33,0.0008,0.0008,0.4448,0.0,0.0,0.2291,0,0,0,0.0,0.0,0.0481,0.0017,0.0287,1.0
Dharma,3,2,60,60,2,9,Dharma_T060_rep02,D:/Patrick/VMSnapshots/Datasets/Dharma_20260329_230514\T060_rep02,103,54,12.43,0,2,9,1,0,0,4.43,38,5,103,0,103,103,2,41.58,568,0,0,5,2,0,0,2362,607,49.21,2855,296.4,1622.0,5.0,4,13,36,68,7,501,43,62,43,0,18.56,69,0,0,17320,5714,14,94,184.26,2508,0.0,0.0,0.0,93,7705,3,14,8,0,8,8,8,0,2,4.0,7,2,33845,520.69,1504,2873,719,865,1357,1894,8665,1020,1535,789,66,174,710,0.0444,0.0849,0.0212,0,6668,1536,0,,,,,1225,0.3299,0.0008,0.0008,0.4449,0.0,0.0,0.2304,0,0,0,0.0,0.0,0.0485,0.0055,0.0288,1.0
Dharma,3,2,60,60,3,15,Dharma_T060_rep03,D:/Patrick/VMSnapshots/Datasets/Dharma_20260329_230514\T060_rep03,102,53,12.62,0,2,9,1,0,0,4.39,38,5,103,1,102,102,2,43.57,568,0,0,6,2,0,0,2856,656,58.29,3411,349.24,1622.0,5.27,5,33,40,85,7,436,34,54,34,0,15.57,69,0,0,17102,5685,14,93,183.89,2343,0.0,0.0,0.0,92,7526,3,14,9,0,9,9,9,0,2,4.5,7,2,35488,529.67,1631,3010,879,868,1444,1926,8981,1129,1624,810,68,181,749,0.046,0.0848,0.0248,0,7160,1650,0,,,,,1220,0.3324,0.0008,0.0008,0.4401,0.0,0.0,0.2304,0,0,0,0.0,0.0,0.0588,0.0116,0.0298,1.0
Dharma,3,2,60,60,4,21,Dharma_T060_rep04,D:/Patrick/VMSnapshots/Datasets/Dharma_20260329_230514\T060_rep04,101,57,13.36,0,2,6,1,0,0,4.0,38,5,103,2,101,101,0,30.83,320,0,0,2,0,0,0,2848,650,52.74,3621,341.33,1628.0,5.11,6,16,43,82,7,237,38,61,38,0,6.41,38,2,3,17310,5717,23,95,182.21,2474,0.0,0.0,0.0,94,7738,3,23,20,0,20,20,20,0,1,20.0,20,1,36725,503.08,1675,2844,956,948,1607,1853,9275,1133,1722,815,75,192,710,0.0456,0.0774,0.026,1,5579,718,0,635,217,417,3,1220,0.3303,0.0013,0.0013,0.447,0.0,0.0127,0.1287,0,0,0,0.0,0.0,0.0198,0.0056,0.0288,1.0
Dharma,3,2,60,60,5,27,Dharma_T060_rep05,D:/Patrick/VMSnapshots/Datasets/Dharma_20260329_230514\T060_rep05,101,57,13.32,0,2,6,1,0,0,4.0,38,5,102,1,101,101,1,36.47,320,0,0,2,0,0,0,3024,665,50.4,3552,299.47,1628.0,4.7,6,16,42,91,7,238,31,50,31,0,7.44,33,0,0,17391,5714,22,95,183.06,2550,0.0,0.0,0.0,94,7808,3,22,19,0,19,19,19,0,1,19.0,19,1,38041,528.35,1688,2998,1001,868,1645,1873,9332,1135,1726,831,74,191,794,0.0444,0.0788,0.0263,3,5476,604,0,635,217,417,3,1220,0.3286,0.0013,0.0013,0.449,0.0,0.0,0.1103,0,0,0,0.0,0.0,0.0198,0.0053,0.0301,1.0
Dharma,3,3,120,120,1,4,Dharma_T120_rep01,D:/Patrick/VMSnapshots/Datasets/Dharma_20260329_230514\T120_rep01,103,54,11.4,0,2,9,1,0,0,4.43,38,5,103,0,103,103,2,37.94,417,0,0,5,2,0,0,3218,674,55.48,4077,351.88,1616.0,5.79,4,20,53,98,7,18,10,13,10,0,1.64,6,0,0,17301,5698,14,94,184.05,2641,0.0,0.0,0.0,93,7740,3,14,7,0,7,7,7,0,2,3.5,6,2,32906,470.09,1423,2443,580,834,1240,1781,8382,892,1543,826,69,177,383,0.0432,0.0742,0.0176,0,6021,1227,0,,,,,1225,0.3293,0.0008,0.0008,0.4474,0.0,0.0,0.2038,0,0,0,0.0,0.0,0.0485,0.0062,0.0305,1.0
Dharma,3,3,120,120,2,10,Dharma_T120_rep02,D:/Patrick/VMSnapshots/Datasets/Dharma_20260329_230514\T120_rep02,103,54,11.38,0,2,9,1,0,0,4.43,38,5,103,0,103,103,2,41.69,417,0,0,5,2,0,0,2974,666,49.57,3686,303.75,1616.0,5.4,5,32,49,97,7,15,7,9,7,0,1.5,4,0,0,17365,5703,14,94,184.73,2695,0.0,0.0,0.0,93,7797,3,14,7,0,7,7,7,0,2,3.5,6,2,34569,473.55,1519,2643,594,860,1325,1795,8782,992,1601,830,72,180,391,0.0439,0.0765,0.0172,0,6248,1340,0,,,,,1225,0.3284,0.0008,0.0008,0.449,0.0,0.0,0.2145,0,0,0,0.0,0.0,0.0485,0.0108,0.0326,1.0
Dharma,3,3,120,120,3,16,Dharma_T120_rep03,D:/Patrick/VMSnapshots/Datasets/Dharma_20260329_230514\T120_rep03,102,53,11.62,0,2,9,1,0,0,4.39,38,5,103,1,102,102,2,42.47,568,0,0,6,2,0,0,3194,672,55.07,4037,348.59,1616.0,5.69,4,20,53,102,7,18,7,9,7,0,1.64,4,0,0,17260,5661,14,93,185.59,2682,0.0,0.0,0.0,92,7765,3,14,8,0,8,8,8,0,2,4.0,7,2,33332,483.07,1451,2536,583,828,1276,1789,8473,967,1575,827,68,179,360,0.0435,0.0761,0.0175,0,6791,1612,0,635,216,418,3,1220,0.328,0.0008,0.0008,0.4499,0.0,0.0,0.2374,0,0,0,0.0,0.0,0.0588,0.0063,0.0319,1.0
Dharma,3,2,120,120,4,22,Dharma_T120_rep04,D:/Patrick/VMSnapshots/Datasets/Dharma_20260329_230514\T120_rep04,107,58,12.74,0,2,11,1,0,0,4.08,40,5,107,0,107,107,0,32.85,320,0,0,2,0,0,0,3341,716,53.89,3993,298.68,1628.0,5.61,6,31,52,107,7,272,31,51,31,0,8.0,45,1,1,16523,5666,24,96,172.11,1812,0.0,0.0,0.0,95,7062,3,24,22,0,22,22,22,0,2,11.0,21,2,35863,498.1,1598,2917,939,928,1530,1916,8969,1076,1640,830,71,190,662,0.0446,0.0813,0.0262,0,6144,987,0,635,218,416,3,1266,0.3429,0.0015,0.0015,0.4274,0.0,0.0037,0.1606,0,0,0,0.0,0.0,0.0187,0.0093,0.032,1.0
Dharma,3,3,120,120,5,28,Dharma_T120_rep05,D:/Patrick/VMSnapshots/Datasets/Dharma_20260329_230514\T120_rep05,100,57,12.51,0,2,6,1,0,0,4.12,40,5,103,3,100,100,0,35.73,417,0,0,2,0,0,0,3366,707,54.29,4023,328.73,1628.0,5.71,6,33,57,111,7,342,29,50,29,0,9.77,53,1,1,16825,5570,22,94,178.99,2426,0.0,0.0,0.0,93,7557,3,22,13,0,13,13,13,0,2,6.5,12,2,36043,500.6,1655,2938,935,973,1531,1917,9064,1109,1677,830,70,188,796,0.0459,0.0815,0.0259,0,5502,999,0,635,219,415,3,1200,0.3311,0.0013,0.0013,0.4492,0.0,0.0029,0.1816,0,0,0,0.0,0.0,0.02,0.0098,0.033,1.0
