feature,consistency,weighted_score,mean_peak,mean_delta,mean_rel_delta,cohens_d,cv_peak,n_families,cohens_d_sep,benign_mean,ransom_mean,direction,cohens_d_sep_norm,stability,universal_score,tier
handle_event_count,0.25,0.002,9869.716,1.748,0.008,0.003,0.053,4,0.295,10022.573,9869.716,benign_higher,6.478482062224998e-06,0.9496676163342831,1.2304809234995248e-08,3
handle_total,0.25,0.003,38151.136,10.895,0.014,0.006,0.047,4,0.132,37912.36,38151.136,ransomware_higher,2.8988462108938974e-06,0.9551098376313276,8.30614960141518e-09,3
handle_directory_count,0.25,0.003,195.182,-0.326,0.011,-0.034,0.044,4,0.125,194.093,195.182,ransomware_higher,2.7451195178919483e-06,0.9578544061302682,7.888274476701001e-09,3
cmdline_unusual_dir_ratio,0.75,0.393,0.064,0.017,0.524,1.042,0.322,4,0.001,0.064,0.064,ransomware_higher,2.1960956143135584e-08,0.75642965204236,6.528483936650745e-09,2
dlllist_non_system,0.25,0.002,4463.759,-80.791,0.007,-0.112,0.161,4,0.012,4455.28,4463.759,ransomware_higher,2.6353147371762704e-07,0.8613264427217915,4.5397325360486995e-10,3
dlllist_total,0.25,0.001,4015.354,-118.553,0.006,-0.152,0.198,4,0.021,3998.64,4015.354,ransomware_higher,4.611800790058473e-07,0.8347245409015025,3.8495832972107453e-10,3
dlllist_avg_load_total_per_process,0.25,0.006,303.207,-20.433,0.022,-1.005,0.092,4,0.001,303.182,303.207,ransomware_higher,2.1960956143135584e-08,0.9157509157509157,1.2066459419305266e-10,3
dlllist_crypto_dlls,0.25,0.013,7.0,0.087,0.053,0.816,0.0,4,0.0,7.0,7.0,ransomware_higher,0.0,1.0,0.0,3
malfind_pid_count,0.0,0.0,2.722,-0.867,0.0,-1.451,0.164,4,6.072,5.427,2.722,benign_higher,0.00013334692570111928,0.859106529209622,0.0,2
netstat_established,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,45535.358,1.44,0.0,benign_higher,0.9999999999999781,1.0,0.0,2
netstat_established_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1034.791,0.033,0.0,benign_higher,0.022724999768311414,1.0,0.0,2
