TreeDepth,Offset,Name
0,0xbe884d8ebbb0,\\Windows\\System32\\msvcrt.dll
0,0xbe884d8ebd40,\\Windows\\System32\\gdi32.dll
0,0xbe884d8ebd70,뷈䶎뺈￿뷈䶎뺈￿
0,0xbe884d8ec510,\\Windows\\System32\\setupapi.dll
0,0xbe884d8ec830,\\Windows\\System32\\shlwapi.dll
0,0xbe884d8ec9c0,\\Windows\\System32\\wow64win.dll
0,0xbe884d8ecb50,\\Windows\\System32\\ole32.dll
0,0xbe884d8ecce0,\\Windows\\System32\\rpcrt4.dll
0,0xbe884d8ece70,\\Windows\\System32\\comdlg32.dll
0,0xbe884d8f2220,\\Windows\\System32\\drivers\\netbt.sys
0,0xbe884d8f2390,\\Windows\\System32\\drivers\\afunix.sys
0,0xbe884d8f2500,\\Windows\\System32\\drivers\\afd.sys
0,0xbe884d8f27e0,\\Windows\\System32\\CatRoot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-Client-Desktop-Required-Package03~31bf3856ad364e35~amd64~~10.0.19041.631.cat
0,0xbe884d8f2ac0,\\Windows\\System32\\drivers\\pacer.sys
0,0xbe884d8f2c30,\\Windows\\System32\\drivers\\cimfs.sys
0,0xbe884d8f3080,\\Windows\\System32\\drivers\\tdi.sys
0,0xbe884d8f31f0,\\Windows\\System32\\drivers\\ws2ifsl.sys
0,0xbe884d8f3360,\\Windows\\System32\\CatRoot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-Client-Desktop-Required-Package0411~31bf3856ad364e35~amd64~~10.0.19041.630.cat
0,0xbe884d8f37b0,\\Windows\\System32\\drivers\\cimfs.sys
0,0xbe884d8f3920,\\Windows\\System32\\drivers\\netbt.sys
0,0xbe884d8f3a90,\\Windows\\System32\\drivers\\afunix.sys
0,0xbe884d8f3d70,\\Windows\\System32\\drivers\\vwififlt.sys
0,0xbe884d8f3ee0,\\Windows\\System32\\drivers\\tdx.sys
