TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0xbe884dd95050,TCPv6,::,49666,::,0,LISTENING,1036,svchost.exe,2026-03-06 03:25:48.000000 UTC
0,0xbe884dd96390,TCPv4,0.0.0.0,49666,0.0.0.0,0,LISTENING,1036,svchost.exe,2026-03-06 03:25:48.000000 UTC
0,0xbe88516c0230,TCPv4,0.0.0.0,49667,0.0.0.0,0,LISTENING,1444,svchost.exe,2026-03-06 03:25:50.000000 UTC
0,0xbe88516c0230,TCPv6,::,49667,::,0,LISTENING,1444,svchost.exe,2026-03-06 03:25:50.000000 UTC
0,0xbe88516bf050,TCPv4,0.0.0.0,49667,0.0.0.0,0,LISTENING,1444,svchost.exe,2026-03-06 03:25:50.000000 UTC
0,0xbe88516c0910,TCPv4,0.0.0.0,49668,0.0.0.0,0,LISTENING,2196,spoolsv.exe,2026-03-06 03:25:52.000000 UTC
0,0xbe88516c0910,TCPv6,::,49668,::,0,LISTENING,2196,spoolsv.exe,2026-03-06 03:25:52.000000 UTC
0,0xbe88516c0390,TCPv4,0.0.0.0,49668,0.0.0.0,0,LISTENING,2196,spoolsv.exe,2026-03-06 03:25:52.000000 UTC
0,0xbe88516c0d30,TCPv4,0.0.0.0,49669,0.0.0.0,0,LISTENING,628,services.exe,2026-03-06 03:25:56.000000 UTC
0,0xbe88516c0d30,TCPv6,::,49669,::,0,LISTENING,628,services.exe,2026-03-06 03:25:56.000000 UTC
0,0xbe88516bfcb0,TCPv4,0.0.0.0,49669,0.0.0.0,0,LISTENING,628,services.exe,2026-03-06 03:25:56.000000 UTC
0,0xbe88516bf9f0,TCPv4,0.0.0.0,49670,0.0.0.0,0,LISTENING,2512,svchost.exe,2026-03-06 03:26:47.000000 UTC
0,0xbe88516bf9f0,TCPv6,::,49670,::,0,LISTENING,2512,svchost.exe,2026-03-06 03:26:47.000000 UTC
0,0xbe88516c04f0,TCPv4,0.0.0.0,49670,0.0.0.0,0,LISTENING,2512,svchost.exe,2026-03-06 03:26:47.000000 UTC
0,0xbe8851bab930,UDPv4,0.0.0.0,500,*,0,,2520,svchost.exe,2026-03-06 03:25:54.000000 UTC
0,0xbe8851bab930,UDPv6,::,500,*,0,,2520,svchost.exe,2026-03-06 03:25:54.000000 UTC
0,0xbe8851976c20,UDPv4,0.0.0.0,500,*,0,,2520,svchost.exe,2026-03-06 03:25:54.000000 UTC
0,0xbe88524735a0,UDPv6,::1,1900,*,0,,5060,svchost.exe,2026-03-06 03:27:11.000000 UTC
0,0xbe88524722e0,UDPv4,127.0.0.1,1900,*,0,,5060,svchost.exe,2026-03-06 03:27:11.000000 UTC
0,0xbe8851ba9b80,UDPv4,0.0.0.0,4500,*,0,,2520,svchost.exe,2026-03-06 03:25:54.000000 UTC
0,0xbe8851ba9b80,UDPv6,::,4500,*,0,,2520,svchost.exe,2026-03-06 03:25:54.000000 UTC
0,0xbe88517b0a90,UDPv4,0.0.0.0,4500,*,0,,2520,svchost.exe,2026-03-06 03:25:54.000000 UTC
0,0xbe88524587f0,UDPv4,0.0.0.0,5050,*,0,,4528,svchost.exe,2026-03-06 03:27:05.000000 UTC
0,0xbe8851d15190,UDPv4,127.0.0.1,49664,*,0,,2948,svchost.exe,2026-03-06 03:26:44.000000 UTC
0,0xbe8852473280,UDPv6,::1,49665,*,0,,5060,svchost.exe,2026-03-06 03:27:11.000000 UTC
0,0xbe8852474d10,UDPv4,127.0.0.1,49666,*,0,,5060,svchost.exe,2026-03-06 03:27:11.000000 UTC

