label,scenario,model,mean_accuracy,acc_ci95_lo,acc_ci95_hi,mean_balanced_acc,mean_macro_f1,f1_ci95_lo,f1_ci95_hi,mean_weighted_f1,train_accuracy,overfit_gap,conf_mean,conf_pct_90,n_train,n_test,wtd_macro_f1,n_instances,benign_fpr,n_folds
stage_hint,LOIO,RandomForest,0.903,0.8206,0.9855,0.8847,0.8726,0.7626,0.9825,0.8913,,,,,,,0.7998,15.0,,
stage_hint,LOIO,XGBoost,0.903,0.8188,0.9873,0.8861,0.8667,0.7494,0.9841,0.9027,,,,,,,0.7906,15.0,,
behavior_stage,LOIO,XGBoost,0.9297,0.8828,0.9766,0.7778,0.7606,0.6052,0.9161,0.8981,,,,,,,0.7191,15.0,,
behavior_stage,Standard 80/20,ExtraTrees,0.8571,0.7143,1.0,0.9,0.7586,0.5128,1.0,0.8695,0.9881,0.131,0.8737,0.6667,84.0,21.0,,,,
stage_hint,Standard 80/20,ExtraTrees,0.8095,0.619,0.9524,0.7333,0.7552,0.4792,0.9314,0.8075,0.9643,0.1548,0.8125,0.4762,84.0,21.0,,,,
behavior_stage,LOIO,RandomForest,0.8924,0.8182,0.9667,0.8237,0.7191,0.5526,0.8856,0.896,,,,,,,0.7222,12.0,,
behavior_stage,LOIO,ExtraTrees,0.8924,0.8182,0.9667,0.8237,0.7191,0.5526,0.8856,0.896,,,,,,,0.7222,12.0,,
behavior_stage,LOIO,LogisticRegression,0.9091,0.8612,0.957,0.8206,0.7098,0.5637,0.856,0.9096,,,,,,,0.7027,15.0,,
stage_hint,Standard 80/20,GradientBoosting,0.8095,0.619,0.9524,0.7333,0.7076,0.4143,0.9111,0.8041,1.0,0.1905,0.9568,0.8571,84.0,21.0,,,,
stage_hint,Standard 80/20,LogisticRegression,0.8095,0.619,0.9524,0.7167,0.6933,0.4,0.9112,0.7984,1.0,0.1905,0.8666,0.619,84.0,21.0,,,,
behavior_stage,LOIO,GradientBoosting,0.903,0.8536,0.9524,0.7984,0.6865,0.5309,0.8422,0.9009,,,,,,,0.6662,15.0,,
behavior_stage,Standard 80/20,XGBoost,0.9048,0.7619,1.0,0.6333,0.6175,0.5347,1.0,0.8821,0.9286,0.0238,0.8602,0.4762,84.0,21.0,,,,
behavior_stage,Standard 80/20,GradientBoosting,0.9048,0.7619,1.0,0.6333,0.6175,0.5347,1.0,0.8821,1.0,0.0952,0.9981,1.0,84.0,21.0,,,,
stage_hint,Standard 80/20,XGBoost,0.7619,0.5714,0.9048,0.6167,0.5805,0.3524,0.7667,0.7297,0.9762,0.2143,0.711,0.3333,84.0,21.0,,,,
stage_hint,Standard 80/20,RandomForest,0.7143,0.5238,0.9048,0.5333,0.56,0.3143,0.7048,0.7492,0.9643,0.25,0.8154,0.5714,84.0,21.0,,,,
behavior_stage,Standard 80/20,LogisticRegression,0.8095,0.619,0.9524,0.8667,0.5559,0.378,0.962,0.8445,1.0,0.1905,0.9603,0.8571,84.0,21.0,,,,
behavior_stage,Standard 80/20,RandomForest,0.8095,0.6655,0.9524,0.5667,0.4355,0.3669,0.9482,0.8296,0.9762,0.1667,0.8679,0.7143,84.0,21.0,,,,
behavior_stage,LOO,GradientBoosting,0.0182,0.0182,0.0182,0.25,0.0091,0.0091,0.0091,0.0007,,,,,,,0.0091,,1.0,1.0
behavior_stage,LOO,RandomForest,0.0182,0.0182,0.0182,0.25,0.0089,0.0089,0.0089,0.0006,,,,,,,0.0089,,,1.0
behavior_stage,LOO,ExtraTrees,0.0182,0.0182,0.0182,0.25,0.0089,0.0089,0.0089,0.0006,,,,,,,0.0089,,,1.0
behavior_stage,LOO,XGBoost,0.0182,0.0182,0.0182,0.25,0.0089,0.0089,0.0089,0.0006,,,,,,,0.0089,,1.0,1.0
behavior_stage,LOO,LogisticRegression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,1.0,1.0
